ID_TestSet,file,bx,by,bz,bl,bm,bn,bmag,vx,vy,vz,vmag,np,tpar,tper,goal
2,55,-0.21,2.86,-1.1,0.88,-2.93,-0.29,3.08,-256.77,111.4,123.13,305.79,4.71,187.91,172.74,2
2,55,3.56,-0.44,-4.62,-5.22,-2.63,0.09,5.85,-247.57,81.84,106.86,281.79,5.71,196.94,154.8,2
2,55,8.27,-0.9,1.81,-4.06,0.18,7.48,8.51,-234.75,77.95,107.94,269.88,5.07,185.32,165.44,2
2,55,7.03,-5.74,2.35,-5.48,4.75,5.95,9.38,-249.47,78.43,92.91,277.51,5.29,150.25,173,2
2,55,3.44,-5.78,1.78,-3.8,5.15,2.75,6.97,-249.57,82.19,92.59,278.58,5.24,210.52,169,2
2,55,6.82,-1.23,1.3,-3.72,0.45,5.98,7.05,-257.83,90.33,97.41,290.04,5.38,168.61,191.83,2
2,55,5.65,-1.93,-2.76,-6,-0.81,2.58,6.58,-253.44,89.2,111.36,290.83,5.51,170.27,180.64,2
2,55,0.3,1.08,-1.18,-0.37,-1.56,-0.24,1.63,-246.05,94.82,112.05,286.51,5.42,193.8,173.6,2
2,55,-1.24,1.83,-3.68,-0.69,-3.19,-2.79,4.29,-236.71,97.19,103.87,276.17,5.8,196.61,179.74,2
2,55,2.21,6.18,-3.56,-0.38,-7.42,0.8,7.47,-233.58,92.3,103.77,271.76,6.15,170.14,184.61,2
2,55,2.04,6.21,3.14,4.01,-3.99,4.54,7.25,-221.89,98.26,110.77,266.76,5.97,190.69,177.44,2
2,55,0.64,0.5,9.3,5.83,4.2,5.96,9.33,-233.5,102.62,105.7,276.08,5.71,160.67,173.67,2
2,55,-1.07,-0.28,-0.5,0.15,0.17,-1.19,1.21,-236,106.52,106.9,280.13,5.46,192.5,171.94,2
2,55,0.31,0.17,-1.91,-1.31,-1.17,-0.82,1.94,-216.27,105.41,93.32,258.04,4.89,206.61,183.86,2
2,55,3.72,-0.27,-1.4,-3.18,-1.16,2.11,3.99,-203.25,108.15,95.44,249.22,5.2,170,202.99,2
2,55,5.4,0.09,-1.03,-3.72,-1.59,3.73,5.5,-207.88,113.09,97.8,256.05,5.6,199.66,187.27,2
2,55,10.27,-0.76,-1.63,-7.34,-2.06,7.11,10.43,-213.14,114.95,86.27,257.07,5.42,193.52,168.47,2
2,55,11.05,-0.81,-0.96,-7.38,-1.81,8.12,11.12,-215,105.08,101.16,259.79,4.58,222.25,179.61,2
2,55,11.55,2.56,3.37,-3.17,-2.54,11.62,12.31,-226.25,124.34,134.88,291.27,4.93,239.5,171.5,2
2,55,12.91,0.35,-2.88,-9.08,-4.11,8.7,13.23,-232.39,125.05,113.48,287.26,4.49,289.5,197.5,2
2,55,6.27,-7.11,-8.55,-12.71,0.47,-1.19,12.77,-255.94,107.15,131.61,307.1,4.89,256.76,210.42,2
2,55,6.63,-3.95,0.2,-5.7,2.21,4.71,7.72,-251.86,103.86,152.03,311.98,3.56,305.6,215.22,2
2,55,9.9,-8.09,-0.2,-9.97,4.89,6.35,12.79,-222.72,66.33,138.22,270.39,4.27,270.75,196.58,2
2,55,7.83,-6.86,0.94,-7.41,4.82,5.57,10.45,-231.47,60.27,147.1,280.8,4.27,267.82,209.86,2
2,55,5.77,-3.19,3.1,-2.97,3.21,5.82,7.28,-221.22,61.7,151.16,274.95,4.45,245.63,227,2
2,55,15.24,2,6.79,-3.4,-0.99,16.43,16.8,-205.97,86.02,146.86,267.19,2.82,227.99,266.29,2
2,55,7.46,12.96,7.94,7.41,-8.2,12.82,16.93,-234.16,92.57,154.94,295.64,3.43,265.82,216.77,2
2,55,-2.41,16.43,6.99,14.26,-9.81,5.01,18.02,-245.05,100.68,140.19,299.73,2.73,365.97,280.83,2
2,55,-4.44,17.15,6.33,15.38,-10.38,3.14,18.82,-249.66,83.69,144.52,300.36,2.9,463.89,254.63,2
2,55,-10.04,17.87,4.51,17.79,-10.89,-2.24,20.99,-282.51,118.87,133.52,334.32,2.15,448.58,300.29,2
2,55,-11.61,17.27,3.74,17.9,-10.5,-4.05,21.15,-280.88,115.05,114.27,324.32,1.91,445.32,274.45,2
2,55,-12.88,18.23,1.22,17.52,-12.36,-6.34,22.36,-279.76,126.12,94.52,321.1,1.67,475.01,258.45,2
2,55,-13.54,16.55,-2,14.98,-12.48,-9.03,21.49,-270.73,112.01,68.26,300.82,1.6,492.48,271.79,2
2,55,-14.09,16.07,-4.22,13.63,-13.1,-10.83,21.79,-246.13,126.79,58,282.88,1.34,448.01,289.57,2
2,55,-14.9,15.55,-4.61,13.58,-12.71,-11.79,22.03,-246.25,87.72,77.83,272.75,1.41,461.92,270.19,2
2,55,-13.31,13.28,-5.57,10.89,-11.59,-11.48,19.61,-258.07,75.05,114.61,292.17,1.47,529.28,273.29,2
2,55,-12.45,15.12,-0.24,14.74,-10.57,-7.39,19.59,-316.27,138.13,187.22,392.64,1.58,259.92,349.76,2
2,55,-12.39,13.76,-1.85,12.98,-10.26,-8.51,18.61,-300.27,163.38,201.92,397.02,1.82,345.85,257.08,2
2,55,-10.89,15.45,-3.66,11.83,-12.88,-8.07,19.26,-271.67,217.61,164.85,385.14,2.02,338.26,263.13,2
2,55,-14.72,11.86,-3.1,12.55,-8.87,-11.43,19.16,-348.89,188.94,145.97,422.76,1.53,369.32,285.75,2
2,55,-13.4,11.2,5.25,16.79,-4.3,-5.68,18.24,-353.17,151.41,193.52,430.25,2.35,237.66,285.01,2
2,55,-10.21,8.68,6.55,14.5,-2.1,-2.83,14.92,-326.07,150.64,225.75,424.23,3.16,186.97,278.35,2
2,55,-8.42,4,8.49,12.31,2.49,-1.11,12.61,-305.61,143.8,217.33,401.64,3.87,201.13,264.95,2
2,55,-6.28,1.27,7.37,8.97,3.82,-0.54,9.77,-316.11,101.48,211.25,393.51,4.4,252.58,218.02,2
2,55,-6.67,2.63,4.18,7.85,1.13,-2.44,8.3,-310.98,101.98,204.61,385.98,3.87,241.22,215.69,2
2,55,-8.67,5.74,2.68,9.64,-1.88,-4.35,10.74,-326.51,108.25,184.05,390.13,4.45,273.25,196.72,2
2,55,-2.07,-3.04,0.79,0.13,3.34,-1.74,3.77,-293.39,110.55,174.85,358.98,3.96,214.71,248.96,2
2,55,4.26,-8.01,-0.95,-7.16,5.47,1.43,9.13,-296.94,103.04,158.08,351.82,4.18,249.36,213.22,2
2,55,0.76,-7.37,-3.74,-6.6,4.15,-2.85,8.3,-304.47,104.62,126.33,345.83,4,290.79,223.13,2
2,55,4.39,0.44,-6.99,-6.76,-4.74,-0.44,8.27,-310.52,98.41,137.63,353.64,4.58,234.3,202.72,2
2,55,2.6,6.21,-2.78,-0.09,-7.11,1.57,7.28,-303.39,109.48,132.82,348.8,5.07,170.83,195.58,2
2,55,0.4,8.39,-3.49,1.83,-8.91,-0.19,9.1,-294.44,100.82,131.41,337.82,4.89,171.88,196.36,2
2,55,-0.42,9.56,-3.6,2.83,-9.8,-0.72,10.23,-302.6,108.77,113.55,341.01,5.11,211.64,181.49,2
2,55,-2.49,7.15,-1.84,3.91,-6.5,-1.78,7.79,-302.11,107.04,137.74,348.85,5.71,207.57,179.75,2
2,55,-0.5,2.03,0.9,1.9,-1.16,0.47,2.28,-287,120.76,135.63,339.63,5.8,198.11,172.85,2
2,55,-0.56,1.55,-0.72,0.65,-1.57,-0.59,1.81,-264.66,122.15,143.14,324.73,5.8,167.19,203.78,2
2,55,5.76,3.15,-4.51,-4.57,-6,2.55,7.96,-261.89,142.69,141.63,330.16,5.24,231.22,185.46,2
2,55,11.08,0.82,-2.2,-7.36,-3.84,7.71,11.33,-260.82,139.66,154.91,333.97,4.18,205.53,234.02,2
2,55,4.76,2.77,-7.86,-6.34,-7.2,-0.24,9.6,-292.45,110,209.97,376.45,3.83,311.17,225.61,2
2,55,-0.11,1.79,-10.77,-5.89,-6.98,-5.98,10.92,-273.7,81.29,196.08,346.36,4.09,176.53,239.61,2
2,55,3.11,-9.29,-6.14,-10.46,4.11,-2.7,11.56,-279.32,74.75,170.05,335.45,4.18,255.35,186.35,2
2,55,-2.11,-2.9,-2.06,-1.58,1.77,-3.38,4.13,-280.92,68.4,152.63,326.95,5.15,215.33,178.16,2
2,55,-4.64,3.92,1.79,5.82,-1.53,-1.97,6.34,-292.98,55,126.44,323.79,5.15,179.17,163.5,2
2,55,-4.4,11.23,1.08,8.97,-8.08,-0.9,12.11,-280.54,63.88,116.19,310.29,4.84,148.6,166.55,2
2,55,-2.79,12.42,0.26,8.13,-9.8,0.12,12.73,-260.79,72.97,113.97,293.8,4.98,174.8,146.91,2
2,55,-4.93,11.18,0.85,9.1,-8.07,-1.46,12.26,-222.91,82.48,123.33,267.76,5.07,145.89,167.63,2
2,55,-6.14,10.46,2.05,10.19,-6.63,-1.87,12.3,-227.61,91.5,127.58,276.51,6.15,115.7,157.69,2
2,55,-3.63,8.17,3.31,8.38,-4.51,0.45,9.53,-226.07,107.98,117.68,276.79,7.13,131.92,154.63,2
2,55,-0.21,9.06,6.4,8.84,-4.31,5.12,11.09,-228.47,111.8,134.64,287.8,7.57,153.5,131.97,2
2,55,-1.92,5.8,4.67,7.06,-2.14,2.18,7.7,-227.53,119.41,145.17,295.14,8.54,126.62,142.86,2
2,55,-4.05,5.39,0.36,5.32,-3.6,-2.06,6.75,-235.5,115.09,145.5,299.79,7.83,145.46,136.78,2
2,55,-1.91,3.08,1.32,3.52,-1.56,-0.21,3.86,-231.41,120.19,150.05,300.85,8.63,135.99,128.71,2
2,55,-3.48,3.35,-0.55,3.36,-2.47,-2.5,4.86,-233.61,122.62,151.21,304.08,8.1,138.41,128.27,2
5,60,-24.84,-28.7,28.38,29.43,37.16,0.58,47.41,-175.55,14.15,81.72,194.14,5.1,61.66,170.3,1
5,60,-25.71,-27.78,28.6,30.41,36.41,0.16,47.45,-192.64,34.95,87.51,214.46,5.31,57.7,172.75,1
5,60,-20.96,-33.11,26.76,24.57,40.56,1.95,47.47,-167.19,8.63,83.69,187.16,6.35,56.43,208.58,1
5,60,-23.46,-30.26,28.96,28.5,38.59,1.88,48.02,-179.08,21.29,97.22,204.88,4.89,63.36,183.11,1
5,60,-19.1,-33.24,26.32,22.95,40.33,2.96,46.5,-178.19,25.53,108.01,209.92,5.31,67.18,186,1
5,60,-22.04,-31.69,25.86,25.04,39.13,0.64,46.47,-177.77,29.76,88.54,200.82,5.86,67.37,229.5,1
5,60,-22.32,-30.33,27.44,26.65,38.18,1.62,46.59,-157.42,15.39,99.04,186.63,5.17,81.08,206.72,1
5,60,-19.91,-31.5,26.37,23.98,38.77,2.53,45.66,-178.5,14.21,81.82,196.86,5.45,75.3,176.63,1
5,60,-22.66,-29.1,28.69,28.04,37.31,2.32,46.73,-153.72,13.82,95.3,181.38,5.38,69.55,211.72,1
5,60,-23.54,-30.87,27.88,27.67,38.98,1.03,47.82,-162.63,-6.07,74.16,178.85,4.54,70.79,173.8,1
5,60,-21.74,-32.22,28.2,26.3,40.09,2.47,48.02,-151.53,2.68,80.19,171.47,5.59,59.34,215.52,1
5,60,-22.53,-30.76,29.03,27.77,38.97,2.56,47.91,-146.91,-6.46,90.41,172.63,4.48,65.19,185.89,1
5,60,-21.05,-34.2,28.25,25.37,41.95,2.86,49.11,-153.55,6.52,83.16,174.75,4.48,57.36,202.83,1
5,60,-22.03,-32.45,28.9,26.92,40.5,2.73,48.72,-130.42,-11.17,83.08,155.05,5.24,54.86,189.52,1
5,60,-20.87,-34.5,29.42,25.96,42.45,3.8,49.91,-123.15,-11.57,77.22,145.8,5.59,48,223.14,1
5,60,-24.09,-31.27,31.01,30.07,40.09,2.8,50.2,-130.11,-5.38,88.01,157.17,3.87,58.81,204.36,1
5,60,-25.55,-32.16,30.43,30.46,41.04,1.3,51.13,-133.42,-4.81,71.48,151.44,4.48,52.36,202.33,1
5,60,-25.41,-30.61,31.09,31.2,39.65,1.95,50.49,-128.41,-11.21,76.07,149.66,4.01,58.45,199.58,1
5,60,-27.52,-28.94,30.62,32.74,38.22,0.22,50.33,-133.86,-3.47,83.4,157.75,4.39,57.95,174,1
5,60,-25.82,-28.96,31.95,32.47,38.31,2.37,50.27,-128.77,-1.98,75.51,149.28,4.89,49.41,199.35,1
5,60,-26.58,-30.08,31.73,32.58,39.43,1.6,51.16,-125.94,-13.22,75.18,147.27,4.61,49.83,186.19,1
5,60,-26.7,-30.78,31.12,32.08,39.99,1.06,51.27,-119.41,-2.38,86.61,147.53,4.35,49.48,213.49,1
5,60,-26.41,-31.04,30.08,31.1,39.98,0.52,50.66,-147.92,3.9,68.72,163.16,4.61,50.54,203.38,1
5,60,-25.32,-31.92,28.71,29.2,40.4,0.29,49.84,-124.51,-5.62,87.33,152.19,4.08,56.86,206.83,1
5,60,-25.71,-30.3,29.73,30.55,39.11,0.8,49.63,-139.41,5.22,79.72,160.67,4.68,53.61,198.69,1
5,60,-27.88,-27.42,30.28,33.15,36.72,-0.19,49.47,-131.69,10.24,99.36,165.28,4.25,55.77,198.33,1
5,60,-25.69,-30.33,29.44,30.34,39.06,0.62,49.47,-112.94,0.89,88.36,143.39,4.01,54.68,193.32,1
5,60,-29.42,-24.69,30.37,34.93,34.31,-1.05,48.97,-141.44,16.84,94.62,171,3.62,70.13,204.22,1
5,60,-24.88,-29.79,29.23,29.77,38.4,1.08,48.59,-106.57,9.84,82.69,135.25,4.68,55.04,219.25,1
5,60,-27.46,-29.09,29.33,31.79,38.07,-0.65,49.61,-133.91,9.73,72.44,152.57,5.1,49.02,180.49,1
5,60,-26.24,-28.5,30.61,31.95,37.61,1.15,49.38,-139.88,18.37,88.37,166.47,3.87,63.61,197.74,1
5,60,-25.04,-30.38,28.3,29.11,38.79,0.28,48.5,-119.33,8.85,77.26,142.42,5.17,55.54,212.52,1
5,60,-26.79,-27.29,28.95,31.51,36.16,-0.33,47.97,-169.22,29.57,75.26,187.55,4.68,58.81,199.39,1
5,60,-24.7,-29.87,29.55,29.85,38.52,1.44,48.75,-139.92,26.28,85.4,166.02,5.31,53.07,228.19,1
5,60,-25.12,-30.12,28.62,29.45,38.61,0.48,48.56,-141.44,-1.53,57.13,152.55,4.21,57.9,206.67,1
5,60,-23.33,-30.2,30.7,29.61,38.91,3.2,49,-117.2,0.53,68.01,135.5,3.69,55.13,197.44,1
5,60,-24.37,-29.86,30.27,30.12,38.61,2.16,49.02,-124.73,2.59,80.04,148.22,3.1,63.36,207.21,1
5,60,-22.69,-31.15,31.66,29.58,39.93,4.27,49.86,-128.05,7.79,80.8,151.63,3.87,53.09,212.74,1
5,60,-21.12,-33.36,30.96,27.48,41.72,4.78,50.18,-103.52,13.96,88.8,137.11,5.1,45.34,215.27,1
5,60,-23.99,-32.18,31.94,30.41,41.16,3.47,51.29,-110.83,-5.1,72.3,132.42,3.52,49.95,210.72,1
5,60,-23.78,-34.59,31.6,29.45,43.4,3.26,52.54,-113.9,1.14,67.44,132.36,3.56,44.54,179.69,1
5,60,-24.43,-33.84,31.37,29.92,42.7,2.68,52.22,-107.83,-4.25,60.79,123.86,3.76,42.25,190.46,1
5,60,-26.65,-33.95,31.28,31.36,43.08,1.02,53.29,-119.36,14.03,71.48,139.83,3.24,44.99,152.63,1
5,60,-25.77,-34.77,30.87,30.28,43.68,1.32,53.18,-112.69,10.2,75.26,135.89,3.14,42.95,164.96,1
5,60,-27.44,-33.7,29.63,30.85,42.61,-0.66,52.61,-123.26,5.42,63.41,138.72,3.24,41.04,161,1
5,60,-27.38,-33.86,28.7,30.12,42.56,-1.29,52.16,-125.91,4.14,60.08,139.58,3.35,46,171.74,1
5,60,-27.32,-33.48,27.83,29.59,41.99,-1.83,51.4,-117.51,-3.41,52.15,128.6,3.21,51.29,167.52,1
5,60,-28.45,-32.4,26.78,29.92,40.86,-3.31,50.75,-148.77,11.42,50.74,157.6,3.49,45.31,155.25,1
5,60,-29.42,-29.65,27.96,32.07,38.59,-3.01,50.27,-152.24,6.72,51.4,160.82,3.28,45.74,162.44,1
5,60,-28.27,-30.53,27.1,30.46,39.09,-2.86,49.66,-145.21,8.28,63.04,158.52,3.52,52.61,166.6,1
5,60,-27.08,-30.66,27.63,29.98,39.18,-1.64,49.36,-139.97,16.58,67.15,156.11,3.21,53.93,161.97,1
5,60,-26.68,-30.09,28.79,30.62,38.82,-0.51,49.45,-138.69,27.82,70.07,157.85,3.42,48.43,167.96,1
5,60,-27.83,-30.08,27.98,30.87,38.79,-1.9,49.61,-139.61,24.98,67.11,156.89,3.1,55.02,171.47,1
5,60,-26.88,-30.44,27.95,30.12,39.02,-1.27,49.31,-132.94,7.55,56.29,144.57,3.17,53.2,154.55,1
5,60,-26.45,-30.45,28.84,30.43,39.15,-0.34,49.59,-149.08,27.51,64.04,164.58,2.96,53.72,149.86,1
5,60,-28.49,-29.1,28.02,31.6,37.93,-2.29,49.43,-138.41,29.46,64.23,155.41,3.1,50.18,152.72,1
5,60,-27.02,-29.78,28.57,30.79,38.52,-0.89,49.33,-148.77,25.23,50.07,158.99,3.24,45.91,148.97,1
5,60,-27.61,-30.36,26.24,29.46,38.66,-2.98,48.7,-150.33,26.01,53.38,161.63,3.45,46.4,151.69,1
5,60,-27.4,-30.54,25.94,29.08,38.75,-3.05,48.54,-153.52,20.35,44.79,161.21,3.17,44.13,149.3,1
5,60,-28.59,-28.13,27.35,31.45,36.88,-2.77,48.56,-156.05,22.74,50.45,165.58,3.03,44.95,143.05,1
5,60,-29.01,-27.62,27.7,32.11,36.52,-2.79,48.72,-157.77,27.13,46.43,166.69,2.86,49.77,146.53,1
5,60,-28.04,-27.54,28.26,31.84,36.43,-1.72,48.41,-162.17,42,59.86,177.89,3.28,52.36,162.1,1
5,60,-28.52,-27.92,27.05,31.26,36.61,-2.92,48.23,-151.61,30.28,56.25,164.52,3.52,45.27,153.19,1
5,60,-28.05,-27.49,28.54,32.06,36.43,-1.52,48.56,-169.78,40.25,61.38,184.97,3.03,49.84,152.66,1
5,60,-27.12,-27.5,28.7,31.51,36.36,-0.74,48.11,-163.78,33.29,62.54,178.46,3.1,55.09,156.58,1
5,60,-28.76,-25.11,29.27,33.61,34.38,-1.38,48.11,-160.63,22.79,50.45,169.89,3.03,54.45,162.17,1
5,60,-26.84,-28.02,29.12,31.48,36.91,-0.28,48.52,-156.74,40.49,65.52,174.64,3,47.5,144.03,1
5,60,-26.8,-27.95,28.11,30.79,36.61,-0.97,47.86,-166.38,32.23,59.68,179.67,2.76,52.88,155.17,1
5,60,-27.69,-26.44,29.52,32.72,35.58,-0.52,48.34,-161.11,38.56,68.16,179.13,2.76,47.54,146.8,1
5,60,-26.37,-27.37,30.26,32.09,36.47,0.87,48.59,-146.3,25.75,63.82,161.67,3.03,46.63,152.52,1
5,60,-26.6,-26.82,30.34,32.43,35.98,0.8,48.45,-138.22,29.94,71.09,158.28,2.58,46.98,138.63,1
5,60,-25.85,-27.75,29.26,30.95,36.54,0.53,47.9,-161.11,34.74,65.3,177.27,2.9,45.7,147.24,1
5,60,-26.48,-25.93,29.94,32.31,35.02,0.65,47.65,-161.83,49.86,73.58,184.63,3.03,50.2,175.78,1
5,60,-26.43,-25.36,30.42,32.73,34.56,1.06,47.61,-144.69,49.79,88.32,176.67,2.83,52.84,165.55,1
5,60,-26.04,-26.66,29.9,31.79,35.66,0.89,47.79,-154.47,41.91,65.55,172.96,3.07,45.99,161.42,1
5,60,-23.85,-27.61,30.44,30.42,36.4,2.78,47.52,-147.17,42.54,75.38,170.75,3.56,49.06,163.53,1
5,60,-26.35,-25.51,29.37,31.93,34.47,0.38,46.99,-158.13,50.09,71.4,180.58,3.14,52.18,157.92,1
5,60,-24.41,-26.42,30.41,31.08,35.31,2.43,47.09,-141.74,49.22,80.5,170.27,3.76,45.49,174.19,1
5,60,-25.42,-25.99,30.08,31.65,34.95,1.5,47.18,-139.97,41.18,69.91,161.8,3.52,50.5,177,1
5,60,-23.38,-26.23,31.54,31.19,35.24,3.96,47.23,-137.07,29.33,75.15,159.03,3.42,64.94,198.02,1
5,60,-23.9,-31.4,29.44,28.84,39.86,1.84,49.24,-126.12,25,71.47,147.1,3.28,48.98,167.96,1
5,60,-24.87,-30.12,30.34,30.44,38.95,1.84,49.47,-130.33,28.49,67.23,149.38,3.62,47.38,178.25,1
5,60,-25.95,-29.87,29.45,30.63,38.66,0.48,49.34,-121.44,12.32,61.18,136.55,3.59,44.66,177.11,1
5,60,-27.03,-30.2,27.45,29.95,38.7,-1.7,48.97,-143.77,8.88,42.06,150.05,3.21,44.7,155.52,1
5,60,-27.27,-28.58,27.07,30.24,37.07,-2.06,47.88,-142.94,3.65,42.73,149.24,3.49,47.7,152.8,1
5,60,-26.92,-28.7,25.78,29.09,36.86,-2.71,47.04,-174.58,42.08,44.58,185.03,2.93,49.13,152.66,1
5,60,-27.84,-25.46,27.4,31.62,34.22,-2.06,46.63,-155.78,31.12,53.72,167.71,3.49,50.04,172.64,1
5,60,-27.21,-25.65,27.44,31.17,34.31,-1.6,46.38,-150.61,27.51,58.38,163.86,2.79,49.83,133.02,1
5,60,-27.46,-25.16,28.41,32.13,34.08,-1.07,46.84,-147.66,37.4,63.45,165.02,3.03,48.72,140.66,1
8,69,3,-4.73,12.52,12.45,5.74,0.3,13.71,-201.22,-92.52,-103.27,244.36,8.43,129.25,195.13,1
8,69,4.13,-5.29,13.35,13.7,5.85,1.14,14.94,-177.03,-90.83,-105.66,225.3,8.71,118.45,175.52,1
8,69,6.05,-3.21,12.77,14.1,3.02,1.54,14.5,-157.86,-69.55,-93,195.97,7.6,137.19,220.69,1
8,69,5.34,-4.05,13.15,14.1,4.16,1.37,14.76,-156.82,-77.65,-99.57,201.33,7.39,145.11,226.61,1
8,69,2.41,-6.92,12.16,11.84,7.73,1.28,14.2,-165.83,-87.37,-97.34,211.22,7.18,143.24,242.11,1
8,69,2.52,-6.38,11.77,11.55,7.12,1.19,13.62,-178.91,-89.41,-95.15,221.5,7.6,139.32,251.08,1
8,69,2.99,-3.7,13.26,13.11,5.12,-0.57,14.09,-186.11,-71.86,-88.72,218.33,7.81,136.8,218.02,1
8,69,4.74,-2.15,13.47,14.12,3.01,-0.28,14.44,-193.08,-73.87,-84.84,223.47,8.36,135.78,226.41,1
8,69,3.68,-3.39,14.14,14.21,4.75,-0.58,15,-204.05,-105.44,-77.45,242.39,7.88,122.37,225.82,1
8,69,2.29,-4.84,14.11,13.53,6.63,-0.72,15.09,-217.67,-105.45,-82.45,255.55,7.88,120.88,219.47,1
8,69,2.86,-5.44,13.71,13.44,6.72,0.17,15.03,-197.83,-109.73,-87.34,242.5,8.02,115.44,218.17,1
8,69,3.88,-4.55,13.75,13.95,5.49,0.38,15,-194.3,-93.8,-79.63,229.99,8.02,109.15,205.08,1
8,69,4.6,-4.59,14.61,15.05,5.39,0.61,16,-175.5,-90.12,-81.29,213.38,7.32,121.08,217.38,1
8,69,2.71,-4.18,12.9,12.66,5.55,-0.36,13.83,-169.42,-102.62,-91.26,218.08,7.88,121.19,200.83,1
8,69,3.01,-4.58,12.83,12.74,5.71,0.11,13.96,-163.05,-113.26,-87.83,217.08,7.25,120.09,219.38,1
8,69,3.85,-3.9,14.9,14.96,5.29,-0.43,15.88,-162.67,-86.11,-76.19,199.21,6.49,121.45,205.75,1
8,69,5.03,-3.79,16.95,17.33,5.16,-0.4,18.08,-170.64,-87.43,-71.37,204.58,6.28,116.83,222.67,1
8,69,4.24,-3.19,14.57,14.86,4.42,-0.45,15.51,-172.82,-93.8,-86.91,214.99,6.91,127.8,204.22,1
8,69,3.08,-3.45,12.7,12.66,4.71,-0.44,13.51,-185.42,-113.37,-97.15,238.05,7.32,124.2,225.61,1
8,69,2.76,-4.71,13.89,13.56,6.23,-0.38,14.93,-183.52,-104.76,-94.75,231.58,6.84,118.62,199.97,1
8,69,3.83,-3.8,13.35,13.58,4.79,0.06,14.4,-188.83,-111.12,-90.82,237.17,6.56,129.55,223.97,1
8,69,2.17,-5.35,13.53,12.96,6.95,-0.31,14.71,-198.3,-100.55,-81.02,236.64,6.21,141.03,223.49,1
8,69,0.66,-9.07,10.84,9.85,10.01,1.75,14.15,-180.22,-97.32,-99.37,227.66,6.21,142.44,243.13,1
8,69,-0.98,-7.73,12.17,10.28,10.14,-0.7,14.45,-185.88,-102.29,-116.52,242.05,8.36,113.54,196.61,1
8,69,-1.65,-8.42,12.45,10.21,11.12,-0.89,15.12,-202.57,-92.79,-110.76,248.82,8.78,110.43,198.33,1
8,69,1.77,-2.86,13.53,12.8,5.13,-2.04,13.95,-190.61,-76.5,-93.25,225.57,8.85,113.48,176.05,1
8,69,1.48,-2.8,13.29,12.45,5.17,-2.2,13.66,-197.03,-83.93,-83,229.69,7.46,128.83,197.75,1
8,69,2.16,-5.07,15.23,14.47,7.2,-1.11,16.2,-194.27,-100.93,-87.73,235.85,7.53,118.87,204.63,1
8,69,2.59,-5.33,13.8,13.4,6.79,-0.11,15.02,-188.97,-102.87,-101.13,237.74,8.36,108.2,189.38,1
8,69,1.66,-4.09,13.21,12.46,6.1,-1.29,13.93,-173.47,-107.84,-95.63,225.55,8.09,106.38,175.63,1
8,69,1.71,-3.56,14.7,13.81,6.05,-2.11,15.23,-173.96,-110.54,-100.76,229.41,6.21,133.67,220.44,1
8,69,0.25,-4.01,13.32,11.9,6.79,-2.4,13.91,-180.86,-98.01,-94.68,226.46,6.35,121.02,194.94,1
8,69,1.09,-5.11,13.28,12.25,7.24,-1.13,14.27,-158.47,-107.57,-99.87,216,6.77,112.13,183.46,1
